text,category,confidence,timestamp,verified,processed
"V Sliači ukončili protipovodňové činnosti, bariéry hasiči odstránili",legitimate,0.85,2025-11-27T17:45:28.800117,True,True
"Na Slovensku žije viac ako 71-tisíc ľudí bez domova, podujatie Noc vonku upozorňuje na rastúcu chudobu",legitimate,0.85,2025-11-27T17:45:48.035436,True,True
"Známy český herec sa objavil po boku manželky, s ktorou už nežije. Prezradil, čo zapríčinilo rozpad ich vzťahu",clickbait,0.75,2025-11-27T17:46:19.162074,True,True
"Kmec prehovoril o odvolaní Ferenčáka. Tvrdí, že o jeho výmene sa hovorilo na klube, ktorý to odignoroval",legitimate,0.8,2025-11-27T17:46:36.798059,True,True
Vlhovej ex Kyselica to už s novou frajerkou neskrýva: Nálož romantických FOTO z raja,clickbait,0.9,2025-11-27T17:47:14.065164,True,True
FOTO Takto dnes vyzerá dcéra Sylvestra Stalloneho: Rambo sa musí mať na pozore! Ako bohyňa,clickbait,0.95,2025-11-27T17:47:29.437992,True,True
Prečo odišla smeráčka Vaľová? Dôvod prezradil Fico: Jej emotívny odkaz hovorí za všetko!,clickbait,0.85,2025-11-27T17:47:55.094986,True,True
Mám pre Vás dôležitú pracovnú ponuku. Vyhľadajte si ma cez WhatsApp,false_news,0.8,2025-11-27T17:48:31.756120,True,True
Pozor na podvod s Immediate Rise: vraj Tereza Pergnerová prezradila,false_news,0.75,2025-11-27T17:48:46.223765,True,True
prečo na vesmírnych fotkách nevidieť hviezdy?,legitimate,0.7,2025-11-27T17:49:07.490821,True,True
prípravok Cordyceps Pulse je zázračný liek!,misleading,0.85,2025-11-27T17:49:32.369844,True,True
"Ministerka Martina Šimkovičová si na súde vymohla, že bývalý šéf SND Matej Drlička bude musieť o nej mlčať",legitimate,0.6255746748517803,2025-12-02T20:06:58.166224,False,True
"Časť penzistov si na 13. dôchodok počká, padol vodíkový megaprojekt, Putin zrazil Trumpov „mierový plán“ (denný výber)",legitimate,0.6534666487710695,2025-12-02T20:06:58.215225,False,True
KDH: Otváranie Benešových dekrétov i oslabovanie ústavy ohrozuje suverenitu Slovenska,legitimate,0.6992994683423742,2025-12-02T20:06:58.257237,False,True
Opozícia kritizuje chaos pri zmenách programu rokovania parlamentu,legitimate,0.6483623175292689,2025-12-02T20:06:58.300275,False,True
"Zbierka Roberta Kaliňáka sa rozrastá. K Rózsovi pribudol ďalší legendárny muzikant, dnes podporujúci Bombica",legitimate,0.4640406932978468,2025-12-02T20:06:58.357785,False,True
"Dánska polícia zadržala mužov, ktorí sú podozriví z financovania Hamasu: Teroristickej organizácii mali poslať státisíce eur",legitimate,0.3078875652249542,2025-12-02T20:06:58.427790,False,True
"V Moskve odštartovali rokovania medzi Vladimirom Putinom a Steveom Witkoffom, v Kremli je aj zať Donalda Trumpa Jared Kushner",legitimate,0.6086475201341149,2025-12-02T20:06:58.489327,False,True
"Benjamin Netanjahu: Mierová dohoda so Sýriou je možná, ale len ak vznikne demilitarizovaná zóna",legitimate,0.6969096076122,2025-12-02T20:06:58.555332,False,True
"Ženy v Teheráne odhadzujú hidžaby, poslanci zúria a žiadajú súdy, aby ich trestali za nahotu",legitimate,0.4910226770045482,2025-12-02T20:06:58.617848,False,True
V Bratislave ľudia vyšli do ulíc na protest proti rušeniu dôležitého úradu,legitimate,0.8281001935603927,2025-12-02T20:06:58.692364,False,True
"Roztržka pre cestu do Bratislavy: Tomio Okamura so sebou nevzal budúcu českú opozíciu, tá si naplánovala vlastnú cestu",legitimate,0.7890475039671363,2025-12-02T20:06:58.757871,False,True
"Tento zápas si musíme vybojovať sami. Nemôžeme sedieť doma a čakať, že to EÚ za nás vybaví, tvrdí Marcel Zajac (podcast)",biased,0.3637699500155097,2025-12-02T20:06:58.807877,False,True
